[2025-05-03 14:24:43] [32m[I]     9387 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9372 ms	Done time: 9384 ms	Delta Time: 4495 ms	Sync AVG: 9520.49 ms	Done AVG: 9532.49 ms	Sync count: 55	Boot count: 55[0m
[2025-05-03 14:25:13] [32m[I]     9645 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9629 ms	Done time: 9641 ms	Delta Time: 4495 ms	Sync AVG: 9522.43 ms	Done AVG: 9534.43 ms	Sync count: 56	Boot count: 56[0m
[2025-05-03 14:25:43] [32m[I]     9608 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9592 ms	Done time: 9604 ms	Delta Time: 4495 ms	Sync AVG: 9523.65 ms	Done AVG: 9535.65 ms	Sync count: 57	Boot count: 57[0m
[2025-05-03 14:26:12] [32m[I]     9603 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9588 ms	Done time: 9600 ms	Delta Time: 4495 ms	Sync AVG: 9524.76 ms	Done AVG: 9536.76 ms	Sync count: 58	Boot count: 58[0m
[2025-05-03 14:26:43] [32m[I]    10026 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 10009 ms	Done time: 10021 ms	Delta Time: 4495 ms	Sync AVG: 9532.97 ms	Done AVG: 9544.97 ms	Sync count: 59	Boot count: 59[0m
[2025-05-03 14:27:12] [32m[I]     9193 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9177 ms	Done time: 9189 ms	Delta Time: 4495 ms	Sync AVG: 9527.03 ms	Done AVG: 9539.03 ms	Sync count: 60	Boot count: 60[0m
[2025-05-03 14:27:42] [32m[I]     9619 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9603 ms	Done time: 9615 ms	Delta Time: 4495 ms	Sync AVG: 9528.28 ms	Done AVG: 9540.28 ms	Sync count: 61	Boot count: 61[0m
[2025-05-03 14:28:12] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9615 ms	Done time: 9627 ms	Delta Time: 4495 ms	Sync AVG: 9529.68 ms	Done AVG: 9541.68 ms	Sync count: 62	Boot count: 62[0m
[2025-05-03 14:28:41] [32m[I]     9604 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9588 ms	Done time: 9600 ms	Delta Time: 4495 ms	Sync AVG: 9530.60 ms	Done AVG: 9542.60 ms	Sync count: 63	Boot count: 63[0m
[2025-05-03 14:29:11] [32m[I]     9617 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9601 ms	Done time: 9613 ms	Delta Time: 4495 ms	Sync AVG: 9531.70 ms	Done AVG: 9543.70 ms	Sync count: 64	Boot count: 64[0m
[2025-05-03 14:29:41] [32m[I]     9946 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9930 ms	Done time: 9942 ms	Delta Time: 4495 ms	Sync AVG: 9537.83 ms	Done AVG: 9549.83 ms	Sync count: 65	Boot count: 65[0m
[2025-05-03 14:30:11] [32m[I]     9291 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9276 ms	Done time: 9288 ms	Delta Time: 4495 ms	Sync AVG: 9533.86 ms	Done AVG: 9545.86 ms	Sync count: 66	Boot count: 66[0m
[2025-05-03 14:30:41] [32m[I]     9615 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9599 ms	Done time: 9611 ms	Delta Time: 4495 ms	Sync AVG: 9534.84 ms	Done AVG: 9546.84 ms	Sync count: 67	Boot count: 67[0m
