[2025-05-03 14:32:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.55 ms	Sync count: 71	Boot count: 71[0m
[2025-05-03 14:33:10] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 355.56 ms	Sync count: 72	Boot count: 72[0m
[2025-05-03 14:33:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 354.59 ms	Sync count: 73	Boot count: 73[0m
[2025-05-03 14:34:10] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 353.65 ms	Sync count: 74	Boot count: 74[0m
[2025-05-03 14:34:40] [32m[I]      688 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29316 ms	Sync time: 0 ms	Done time: 684 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.05 ms	Sync count: 75	Boot count: 75[0m
[2025-05-03 14:35:09] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 357.09 ms	Sync count: 76	Boot count: 76[0m
[2025-05-03 14:35:39] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.73 ms	Sync count: 77	Boot count: 77[0m
[2025-05-03 14:36:09] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 357.78 ms	Sync count: 78	Boot count: 78[0m
[2025-05-03 14:36:39] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.86 ms	Sync count: 79	Boot count: 79[0m
[2025-05-03 14:37:08] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 355.96 ms	Sync count: 80	Boot count: 80[0m
[2025-05-03 14:37:39] [32m[I]      687 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29317 ms	Sync time: 0 ms	Done time: 683 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 360.00 ms	Sync count: 81	Boot count: 81[0m
[2025-05-03 14:38:08] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.09 ms	Sync count: 82	Boot count: 82[0m
[2025-05-03 14:38:38] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.19 ms	Sync count: 83	Boot count: 83[0m
[2025-05-03 14:39:08] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.68 ms	Sync count: 84	Boot count: 84[0m
[2025-05-03 14:39:38] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.80 ms	Sync count: 85	Boot count: 85[0m
[2025-05-03 14:40:08] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 360.24 ms	Sync count: 86	Boot count: 86[0m
[2025-05-03 14:40:37] [32m[I]      288 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29716 ms	Sync time: 0 ms	Done time: 284 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.37 ms	Sync count: 87	Boot count: 87[0m
[2025-05-03 14:41:07] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.52 ms	Sync count: 88	Boot count: 88[0m
[2025-05-03 14:41:37] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 357.70 ms	Sync count: 89	Boot count: 89[0m
[2025-05-03 14:42:07] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.89 ms	Sync count: 90	Boot count: 90[0m
[2025-05-03 14:42:37] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.10 ms	Sync count: 91	Boot count: 91[0m
[2025-05-03 14:43:06] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 355.33 ms	Sync count: 92	Boot count: 92[0m
[2025-05-03 14:43:36] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 354.57 ms	Sync count: 93	Boot count: 93[0m
