[2025-05-02 19:35:36] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 296.05 ms	Sync count: 58	Boot count: 58[0m
[2025-05-02 19:36:06] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 295.86 ms	Sync count: 59	Boot count: 59[0m
[2025-05-02 19:36:35] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 295.68 ms	Sync count: 60	Boot count: 60[0m
[2025-05-02 19:37:05] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 295.51 ms	Sync count: 61	Boot count: 61[0m
[2025-05-02 19:37:35] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 295.34 ms	Sync count: 62	Boot count: 62[0m
[2025-05-02 19:38:05] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 295.17 ms	Sync count: 63	Boot count: 63[0m
[2025-05-02 19:38:35] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 295.02 ms	Sync count: 64	Boot count: 64[0m
[2025-05-02 19:39:04] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 294.86 ms	Sync count: 65	Boot count: 65[0m
[2025-05-02 19:39:34] [32m[I]      290 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29714 ms	Sync time: 0 ms	Done time: 286 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 294.73 ms	Sync count: 66	Boot count: 66[0m
[2025-05-02 19:40:04] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 294.58 ms	Sync count: 67	Boot count: 67[0m
[2025-05-02 19:40:34] [32m[I]      290 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29714 ms	Sync time: 0 ms	Done time: 286 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 294.46 ms	Sync count: 68	Boot count: 68[0m
[2025-05-02 19:41:04] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 294.32 ms	Sync count: 69	Boot count: 69[0m
