[2025-05-21 13:59:22.230882] xxxxxxets Jul 29 2019 12:21:46
[2025-05-21 13:59:22.231058] 
[2025-05-21 14:04:18.936602] [I]      101 mac.cpp             : 103 | [MAC] Init
[2025-05-21 14:04:18.944917] [I]      103 routing_table.cpp   :  49 | [RTABLE] Routing table initialized. (6 B, 3 routes) Heap: 328348
[2025-05-21 14:04:18.950474] [I]      113 routing.cpp         :  64 | [ROUTING] Initialized
[2025-05-21 14:04:18.958803] [I]      113 transport.cpp       :  74 | [TRANSPORT] Initialized
[2025-05-21 14:04:18.964425] [W]      124 routing_table.cpp   :  84 | [RTABLE] Route for 0x09 already exists
[2025-05-21 14:04:18.972694] [I]      134 transport.cpp       : 168 | [TRANSPORT] Registered event(s) for port 1
[2025-05-21 14:04:18.981200] [I]      145 transport.cpp       :  93 | [TRANSPORT] Preparing to send
[2025-05-21 14:04:18.992150] [I]      145 transport.cpp       : 368 | [TRANSPORT] SEGMENT: ID=13151 PORT=1 ACKreq=0 ACKResp=0 D-LEN=0 DATA=
[2025-05-21 14:04:18.997866] [I]      155 routing.cpp         :  90 | [ROUTING] Sending packet:
[2025-05-21 14:04:19.006015] [I]      166 routing.cpp         : 299 | [ROUTING] PACKET: SRC=05 DST=09 TTL=5 D-LEN=4 DATA=_3
[2025-05-21 14:04:19.014424] [I]      176 routing_table.cpp   :  74 | [RTABLE] Queried route for 0x09, through 0x09
[2025-05-21 14:04:19.022885] [I]      186 mac.cpp             : 115 | [MAC] Preparing to send
[2025-05-21 14:04:19.028259] [I]      186 mac.cpp             : 128 | [MAC] PDU ready
[2025-05-21 14:04:19.039358] [I]      197 mac.cpp             : 565 | [MAC] FRAME: TX=05 RX=09 ID=63343 D-LEN=8 DATA=	_3 CRC=16 ACK=0 RETRY=0
[2025-05-21 14:04:19.044919] [I]      207 mac.cpp             : 141 | [MAC] FSM transmission scheduled
[2025-05-21 14:04:19.053285] [I]      207 routing.cpp         : 132 | [ROUTING] Added packet to send queue (ID: 63343)
[2025-05-21 14:04:19.064579] [I]      218 transport.cpp       : 133 | [TRANSPORT] Scheduled to send segment (Segment ID: 13151, Frame ID: 63343)
[2025-05-21 14:04:19.072813] [I]      237 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 14:04:19.078284] [I]      237 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 14:04:19.092688] [I]      256 loraraw.cpp         : 235 | [LR] Packet: 05096FF7F808050905045F33040010
[2025-05-21 14:04:19.150296] [I]      315 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.160369] [I]      315 mac.cpp             : 484 | [MAC] Frame sent successfully, waiting for ACK
[2025-05-21 14:04:19.166110] [I]      332 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.175034] [I]      332 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 14:04:19.283222] [I]      448 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 14:04:19.288908] [I]      448 mac.cpp             : 422 | [MAC] Retry 1/3
[2025-05-21 14:04:19.294450] [I]      459 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 14:04:19.301318] [I]      459 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 14:04:19.314947] [I]      478 loraraw.cpp         : 235 | [LR] Packet: 05096FF7FA08050905045F330400C0
[2025-05-21 14:04:19.372641] [I]      537 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.381467] [I]      538 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 14:04:19.387050] [I]      554 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.397498] [I]      554 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 14:04:19.504017] [I]      669 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 14:04:19.509617] [I]      669 mac.cpp             : 422 | [MAC] Retry 2/3
[2025-05-21 14:04:19.515096] [I]      680 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 14:04:19.522221] [I]      680 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 14:04:19.535661] [I]      699 loraraw.cpp         : 235 | [LR] Packet: 05096FF7FC08050905045F330400B7
[2025-05-21 14:04:19.593304] [I]      758 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.602158] [I]      758 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 14:04:19.607674] [I]      775 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.617798] [I]      775 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 14:04:19.726050] [I]      891 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 14:04:19.731659] [I]      891 mac.cpp             : 422 | [MAC] Retry 3/3
[2025-05-21 14:04:19.737115] [I]      902 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 14:04:19.744172] [I]      902 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 14:04:19.757572] [I]      921 loraraw.cpp         : 235 | [LR] Packet: 05096FF7FE08050905045F33040067
[2025-05-21 14:04:19.815190] [I]      980 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.824147] [I]      980 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 14:04:19.829660] [I]      997 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.839915] [I]      997 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 14:04:19.949174] [I]     1113 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 14:04:19.956336] [W]     1113 mac.cpp             : 417 | [MAC] Max retries (3) reached, transmission failed
[2025-05-21 14:04:19.961904] [W]     1124 mac.cpp             : 554 | [MAC] TX error (1)
[2025-05-21 14:04:19.968122] [I]     1130 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:19.978617] [W]     1130 transport.cpp       : 281 | [TRANSPORT] TX Error for UDP segment 13151 (frame 63343)
[2025-05-21 14:04:19.986883] [I]     1142 routing_table.cpp   :  60 | [RTABLE] Routing table de-initialized. Heap: 327728
[2025-05-21 14:04:19.992529] [I]     1152 mac.cpp             : 108 | [MAC] Deinit
[2025-05-21 14:04:19.997829] [I]     1163 lora.cpp            :  37 | [LORA] Deinit
[2025-05-21 14:04:20.010506] [I]     1176 routing.cpp         :  75 | [ROUTING] Deinitialized
[2025-05-21 14:04:20.016077] [I]     1176 transport.cpp       :  88 | [TRANSPORT] De-initialized
[2025-05-21 14:04:20.019150] Sleeping for 298814 ms
[2025-05-21 14:09:15.803550] ets Jul 29 2019 12:21:46
[2025-05-21 14:09:15.803624] 
[2025-05-21 14:09:15.809094] rst:0x5 (DEEPSLEEP_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
[2025-05-21 14:09:15.811846] configsip: 0, SPIWP:0xee
