[2025-05-21 11:10:30.596377] ets Jul 29 2019 12:21:46
[2025-05-21 11:10:30.596515] 
[2025-05-21 11:11:45.544255] [I]      476 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:11:45.550946] [I]      476 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:11:45.564252] [I]      495 loraraw.cpp         : 235 | [LR] Packet: 05090646FA0805090504F68E040041
[2025-05-21 11:11:45.621610] [I]      555 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:45.631347] [I]      555 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 11:11:45.638387] [I]      571 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:45.646354] [I]      571 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:11:45.753923] [I]      687 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:11:45.758416] [I]      687 mac.cpp             : 422 | [MAC] Retry 2/3
[2025-05-21 11:11:45.765541] [I]      698 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:11:45.771316] [I]      698 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:11:45.785523] [I]      717 loraraw.cpp         : 235 | [LR] Packet: 05090646FC0805090504F68E040036
[2025-05-21 11:11:45.842353] [I]      776 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:45.852416] [I]      777 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 11:11:45.859317] [I]      793 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:45.867380] [I]      793 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:11:45.973889] [I]      908 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:11:45.979352] [I]      908 mac.cpp             : 422 | [MAC] Retry 3/3
[2025-05-21 11:11:45.986534] [I]      919 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:11:45.992340] [I]      919 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:11:46.005296] [I]      938 loraraw.cpp         : 235 | [LR] Packet: 05090646FE0805090504F68E0400E6
[2025-05-21 11:11:46.063612] [I]      997 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:46.072430] [I]      998 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 11:11:46.079306] [I]     1014 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:46.088301] [I]     1014 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:11:46.194944] [I]     1129 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:11:46.203278] [W]     1129 mac.cpp             : 417 | [MAC] Max retries (3) reached, transmission failed
[2025-05-21 11:11:46.209301] [W]     1140 mac.cpp             : 554 | [MAC] TX error (1)
